"","Nome d'arte","Nome","Sesso","Attività","Paesi.di.prima.pubblicazione","Mercati","Editori","Insegna.presso"
"1093","Majo","Rossi, Mario","M","Disegni","IT","P","Sergio Bonelli Editore",NA
"1639",NA,"Rossi, Mario","M","Disegni","IT","P","Sergio Bonelli Editore",NA
"1781","Sonno","Rossi, Michela","F","Autrice unica","IT","GN","Einaudi, Feltrinelli Editore",NA
"1640",NA,"Rossi, Monica","F","Autrice unica, disegni, colori","IT","P, GN","Corriere della Sera/La Lettura, Diabolo Edizioni, La Stampa/Tuttolibri, Parapiglia, Solferino Libri",NA
"1641",NA,"Rossi, Rossano","M","Disegni","IT","P","Sergio Bonelli Editore",NA
"1642",NA,"Rossi, Sergio","M","Sceneggiatura","IT","GN","BeccoGiallo, Centauria, Editrice Il Castoro",NA
"1643",NA,"Rossin, Fabio Ramiro","M","Autore unico","IT","GN","Coconino Press","Scuola superiore d'arte applicata (Milano)"
"1644",NA,"Rosso, Emanuele","M","Autore unico","IT","GN","BeccoGiallo, Coconino Press, Tunué","IED - Istituto Europeo di Disegni (Torino)"
"1645",NA,"Rota, Marco","M","Disegni","IT","P","The Walt Disney Company",NA
"1646",NA,"Rotundo, Massimo","M","Disegni","IT","P","Sergio Bonelli Editore","SRF - Scuola Romana dei Fumetti"
"1647",NA,"Rovero, Pier Paolo","M","Disegni","FR","P, GN","Éditions Glenat, Éditions Jungle, The Walt Disney Company",NA
"1965","Violetta Rocks","Rovetto, Violetta","F","Sceneggiatura","IT","GN","Shockdom",NA
"1648",NA,"Rubegni, Riccardo","M","Disegni","IT","GN","Weird Book",NA
"1649",NA,"Rubini, Michele","M","Disegni","IT","P","Sergio Bonelli Editore","SRF - Scuola Romana dei Fumetti"
"1650",NA,"Rubino, Maurizia","F","Autrice unica, disegni","IT, USa","GN","Bao Publishing, BOOM! Studios",NA
"1651",NA,"Rudoni, Daniele","M","Colori","IT","P","Sergio Bonelli Editore",NA
"1652",NA,"Rufino, Chiara","F","Sceneggiatura","IT","P","Sergio Bonelli Editore",NA
"1653",NA,"Ruggeri, Mirka","F","Disegni","IT","GN","Editrice Il Castoro, Tunué",NA
"1654",NA,"Ruggeri, Piero","M","Disegni","FR","GN","Le Cycliste, Petit à Petit","Corso di fumetto - Arena del Fumetto (Bologna)"
"1655",NA,"Ruggiero, Francesca","F","Sceneggiatura","IT","GN","Eris Edizioni",NA
