Numero,Nome,Sesso,Attività,Paesi di prima pubblicazione,Mercati,Editori,Insegna presso
,"Salvemini, Davide",M,Autore unico,IT,GN,"Eris Edizioni, Hoppipolla",
,"Lucchesi, Stephanie",F,Disegni,IT,GN,Kleiner Flug,
,"Corsani, Cristiano",M,Autore unico,IT,GN,Sbam! Comics,
,"Checcaglini, Claudia",F,Colori,FR,GN,Editions Delcourt,
,"Chiolerio, Simone",M,Autore unico,IT,GN,Feltrinelli Editore,
,"Cecchi, Luigi",M,Autore unico,IT,GN,Shockdom,
,"Beauchard, Pierre-François",M,Autore unico,"FR, IT",GN,"BAO Publishing, Coconino Press, Rizzoli Lizard Lizard, Le Editions Le Lombard, Futuropolis, L'Association, Cornélius",
,"Berardi, Davide",M,"Autore unico, Sceneggiatura",IT,P,"Sergio Bonelli Editore, Panini Comics",
,"di Qual, Giovanni",M,Disegni,IT,GN,Beccogiallo,
,"Mereu, Alessandro",M,Autore unico,IT,GN,Magic Press Edizioni,
,"Avogadro, Davide",M,Autore unico,IT,GN,BD,
,"Peres, Antonio",M,Autore unico,IT,GN,Shockdom,
,"Di Matteo, Daniela",F,Disegni,"FR, US","P, GN","Editions Soleil, Zenescope",
,"Monti, Eugenia",F,Disegni,IT,GN,Beccogiallo,
,"Baldassarro, Vito Antonio",M,Autore unico,IT,GN,Beccogiallo,
,"Ascari, Giancarlo",M,Autore unico,IT,GN,Rizzoli Lizard Lizard,
,"Baraldi, Edoardo",M,Autore unico,IT,GN,001 Edizioni,
,"Borelli, Elisa",F,Autrice unica,IT,GN,Beccogiallo,
,"Signorelli, Josephine",F,Autrice unica,IT,GN,"Beccogiallo, Feltrinelli Editore, Diabolo, Linus",
,"Pota, Giovanni",M,Autore unico,IT,GN,"BAO Publishing, Il Battello a Vapore",
,"Giovannini, Gianluca",M,Autore unico,IT,GN,"Beccogiallo, Feltrinelli Editore, Fumetti di cane",
,"Galli, Marco K.",M,Autore unico,IT,GN,Coconino Press,
,"Giarolli, Manuel",M,Colori,IT,P,Sergio Bonelli Editore,
,"Testi, Edoardo",M,Autore unico,IT,GN,Shockdom,
,"Ganduglia, Giacomo",M,"Disegni, Autore unico",US,P,"Throw the Dice Productions, SwampLine Comics",
,"Rivelli, Mario",M,Autore unico,IT,GN,"Coconino Press, Centauria","Corso di fumetto - Arena del Fumetto (Bologna), Accademia di Belle Arti di Bologna (Corso fumetto e illustrazione)"
,"Tuveri, Igor",M,Autore unico,IT,GN,"Coconino Press, Arnoldo Mondadori Editore, Oblomov Edizioni",
,"Muci, Roberta",F,Autrice unica,IT,GN,"Feltrinelli Editore, Diabolo",
,"Bonomo, Daniele",M,Autore unico,IT,GN,"Tunué, Coconino Press",The Sign - Comics & Arts Academy (Firenze)
,"Grillenzoni, Andrea",M,Autore unico,IT,GN,Shockdom,
,"Rossetti, Antonio",M,Autore unico,IT,GN,BAO Publishing,
,"Passalacqua, Lucio",M,Autore unico,IT,GN,Shockdom,
,"Montagliani, Luca",M,Autore unico,IT,"P, GN","Max Bunker Press, Annexia, Cut Up Publishing",
,"Marsili, Alessandra",F,Disegni,FR,GN,"Ankama Editions, Sarbacane",
,"Hassan, Mariem",F,Disegni,IT,GN,Barta Edizioni,
,"Orizio, Daniele",M,Disegni,IT,P,Sergio Bonelli Editore,Scuola internazionale di Comics - Brescia
,"De Santis, Alessandra",F,Autrice unica,IT,GN,BAO Publishing,
,"Ballini, Nicole",F,Disegni,IT,GN,Shockdom,
,"Pontieri, Simone",M,Disegni,IT,GN,Edizioni NPE,
,"Moretta, Vittoria",F,Autrice unica,IT,GN,Coconino Press,
,"Perugini, Alessandro",M,Autore unico,IT,GN,Tunué,
,"Pantalena, Paola",F,Disegni,"IT, US","P, GN","Star Comics, Dc Comics, Marvel Comics, Zenescope",
,"Bertolini, Vale",F,Disegni,IT,GN,Feltrinelli Editore,
,"Piersantelli, Luca",M,Autore unico,IT,GN,"Shockdom, Edizioni NPE",
,"Lerici, Gianluca",M,Autore unico,IT,GN,Eris Edizioni,
,"Melis, Andrea",M,Sceneggiatura,IT,P,"Sergio Bonelli Editore, It Comics, De Agostini",Fumé Scuola di fumetto
,"Carenzi, Andrea",M,Disegni,IT,"P, GN","Star Comics, Panini Comics",
,"Cellino, Giulia",F,Autrice unica,IT,GN,Feltrinelli Editore,
,"Delicato, Francesca",F,Autrice unica,IT,GN,Beccogiallo,
,"Dema, Pamela",F,Disegni,IT,GN,Mangasenpai,
,"Rossi, Michela",F,Autrice unica,IT,GN,"Feltrinelli Editore, Einaudi",
,"Silvestri, Antonio",M,Sceneggiatura,IT,GN,"Tunué, Shockdom",
,"Di Bona, Maurizio",M,Autore unico,IT,GN,Beccogiallo,
,"Savi, Valentina",F,Autrice unica,IT,GN,Beccogiallo,
,"Puglisi, Rosa",F,"Disegni, Colori",IT,GN,It Comics,
,"Spagnulo, Giulia",F,Autrice unica,IT,GN,Coconino Press,
,"Varano, Ivan",M,Autore unico,IT,GN,Mangasenpai,
