Numero,Nome,Sesso,Attività,Paesi di prima pubblicazione,Mercati,Editori,Insegna presso
,"Bertolini, Massimiliano",M,Disegni,IT,"P, GN","Sergio Bonelli Editore, Edizioni Inkiostro",
,"Lazzarini, Anna",F,Disegni,IT,P,Sergio Bonelli Editore,
,"Cuneo, Andrea",M,Disegni,IT,"P, GN","Astorina, Sergio Bonelli Editore, Editions Soleil",Scuola Chiavarese del Fumetto
,"Maresta, Werner",M,Disegni,IT,P,"Sergio Bonelli Editore, ReNoir Comics",
,"Raffaele, Stefano",M,Disegni,"FR, IT, US","P, GN","SaldaPress, Dc Comics, Les Humanoides Associes, Marvel Comics, Editions Soleil",
,"Gradin, Maurizio",M,Disegni,IT,P,Sergio Bonelli Editore,
,"Marzano, Giancarlo",M,Disegni,IT,"P, GN","Sergio Bonelli Editore, Edizioni Inkiostro",
,"Ostini, Alberto",M,Sceneggiatura,IT,P,"Sergio Bonelli Editore, The Walt Disney Company",Scuola internazionale di Comics - Milano
,"Enna, Bruno",M,Sceneggiatura,IT,P,"Sergio Bonelli Editore, The Walt Disney Company",
,"Borgioli, Andrea",M,Disegni,IT,P,Sergio Bonelli Editore,"Scuola internazionale di Comics - Reggio Emilia, Corso di fumetto - Arena del Fumetto (Bologna)"
,"Palomba, Francesca",M,Disegni,IT,P,Sergio Bonelli Editore,
,"Gallo, Pier Nicola",M,Disegni,IT,P,Sergio Bonelli Editore,
,"Mantero, Maurizio",M,Sceneggiatura,IT,P,"Sergio Bonelli Editore, ReNoir Comics",
,"Perconti, Davide",M,Disegni,IT,P,Sergio Bonelli Editore,
,"Zanella, Melissa",F,Disegni,IT,P,Sergio Bonelli Editore,
,"Camboni, Silvio",M,Disegni,IT,P,The Walt Disney Company,
,"Vicari, Antonella",F,Disegni,IT,P,Sergio Bonelli Editore,
,"Lisiero, Alberto",M,Sceneggiatura,IT,P,Sergio Bonelli Editore,
,"Bergamo, Massimiliano",M,Disegni,IT,P,Sergio Bonelli Editore,
,"Detullio, Fabio",M,Disegni,"FR, IT","P, GN","Sergio Bonelli Editore, Editions Soleil",
,"Bellagamba, Carlo",M,Disegni,IT,P,Sergio Bonelli Editore,
,"Lotti, Enrico",M,Sceneggiatura,IT,P,"Astorina, Sergio Bonelli Editore",
,"Sicomoro, Eugenio",M,Disegni,FR,GN,"Editions Delcourt, Editions Glenat, Editions Dupuis",SRF - Scuola Romana dei Fumetti
,"Santarelli, Stefano",M,Sceneggiatura,IT,P,Sergio Bonelli Editore,SRF - Scuola Romana dei Fumetti
,"Orlandi, Alfredo",M,Disegni,"FR, IT","P, GN","Sergio Bonelli Editore, Editions Clair de Lune",
,"De Cubellis, Davide",M,Disegni,IT,P,Sergio Bonelli Editore,
,"Grimaldi, Fabio",M,Disegni,IT,P,Sergio Bonelli Editore,
,"Piccoli, Claudio",M,Disegni,IT,P,Sergio Bonelli Editore,
,"Liotti, Giuseppe",M,Disegni,FR,GN,"Le Editions Le Lombard, Rue de Sévres",
,"Bisi, Paolo",M,Disegni,IT,P,Sergio Bonelli Editore,
,"Fara, Antonio",M,Disegni,IT,P,Sergio Bonelli Editore,
,"Rinaldi, Pino",M,Disegni,FR,GN,Editions Soleil,
,"Toffanetti, Romeo",M,Disegni,IT,P,Sergio Bonelli Editore,
,"Bastianoni, Dante",M,Disegni,IT,P,Sergio Bonelli Editore,
,"Di Clemente, Paolo",M,Disegni,IT,P,Sergio Bonelli Editore,
,"Masala, Guido",M,Disegni,IT,P,Sergio Bonelli Editore,Fumé Scuola di fumetto
,"Massa, Enrico",M,Disegni,IT,P,Sergio Bonelli Editore,Scuola Chiavarese del Fumetto
,"Antinori, Federico",M,Disegni,IT,P,Sergio Bonelli Editore,
,"Pezzi, Fabio",M,Disegni,FR,GN,Editions Glenat,
,"Vincenti, Massimo",M,Sceneggiatura,IT,P,Sergio Bonelli Editore,SRF - Scuola Romana dei Fumetti
,"Marinetti, Antonio",M,Disegni,"FR, IT","P, GN","Sergio Bonelli Editore, Editions Soleil",
,"Pittaluga, Luigi",M,Disegni,IT,P,Sergio Bonelli Editore,
,"Campi, Thomas",M,"Disegni, Autore unico","FR, IT",GN,"BAO Publishing, Coconino Press, Editions Delcourt, Editions Dupuis, Le Editions Le Lombard",
,"Mosca, Matteo",M,Disegni,IT,P,Sergio Bonelli Editore,
,"Pezzin, Giorgio",M,Sceneggiatura,IT,P,The Walt Disney Company,Dali Arts (Vicenza)
,"Chiarolla, Alessandro",M,Disegni,IT,P,Sergio Bonelli Editore,
,"Cardoselli, Stefano",M,Sceneggiatura,IT,GN,Cut Up Publishing,
,"Di Vivona, Chiara",F,Disegni,IT,GN,Shockdom,
,"Rosi, Massimo",M,Sceneggiatura,"FR, IT, US","P, GN","Shockdom, Leviathan Labs, Editions Delcourt, Scout Comics, Caliber Comics, Action Lab Entertainment",The Sign - Comics & Arts Academy (Firenze)
,"Stroppi, Laura",F,Autrice unica,IT,GN,Sbam! Comics,
,"Piccoli, Stefano",M,Autore unico,IT,GN,"Tunué, Round Robin",SRF - Scuola Romana dei Fumetti
,"Ghiglione, Marco",M,Disegni,IT,P,The Walt Disney Company,
,"Calore, Alessandro",M,Disegni,FR,GN,Editions Delcourt,
,"Raho, Rosario",M,Disegni,IT,P,Sergio Bonelli Editore,
,"Del Pennino, Mario",M,Disegni,"IT, US",P,"Panini Comics, Dc Comics, Marvel Comics",
,"Giurlanda, Matteo",M,Disegni,IT,P,Sergio Bonelli Editore,
,"Dominici, Marco",M,Disegni,FR,GN,"Les Humanoides Associes, Editions Soleil, Kennes",
,"De Carli, Manuel",M,Disegni,IT,GN,Beccogiallo,
,"Ferramosca, Ilaria",F,Sceneggiatura,IT,GN,"Tunué, 001 Edizioni, Beccogiallo",Grafite - Scuola di grafica e fumetto (Taranto)
,"Battisti, Giorgio",M,Disegni,IT,GN,Shockdom,
,"Perugini, Marco",M,Disegni,IT,P,"Sergio Bonelli Editore, Bugs Comics",
,"Lavoradori, Alberto",M,Disegni,IT,P,The Walt Disney Company,
,"Filosa, Vincenzo",M,Autore unico,IT,GN,"Coconino Press, Rizzoli Lizard Lizard, Einaudi",Scuola internazionale di Comics - Milano
,"Monti, Giacomo",M,Autore unico,IT,GN,Canicola Edizioni,
,"De Grimani, Elena",F,Autrice unica,IT,GN,"Star Comics, Panini Comics",
,"Battestini, Roberto",M,Autore unico,IT,GN,001 Edizioni,
,"Follini, Francesca",F,Disegni,"FR, IT",GN,"Star Comics, Noise Press, Kleiner Flug, Editions Soleil",
,"Spataro, Alessio",M,Autore unico,IT,GN,"BAO Publishing, Shockdom",
,"Frezzato, Massimiliano",M,Disegni,"FR, IT",GN,"Lavieri Edizioni, Caruette",
,"De Vincentiis, Adriano",M,Disegni,"FR, IT",GN,"Edizioni Inkiostro, Editions Soleil, BD",
,"Negrin, Emanuela",F,"Disegni, Sceneggiatura","FR, IT","P, GN","The Walt Disney Company, Editions Soleil",
,"Tenuta, Saverio",M,"Disegni, Sceneggiatura",FR,GN,Les Humanoides Associes,
,"Marzocchi, Leila",F,Autrice unica,IT,GN,"Coconino Press, Oblomov Edizioni",
,"Nanni, Giacomo",M,Autore unico,"FR, IT",GN,"Coconino Press, Rizzoli Lizard Lizard, Canicola Edizioni, Ici Même, Cornélius, Cambourakis",
,"Ricci, Stefano",M,Autore unico,"DE, IT",GN,"Coconino Press, Quodlibet",
,"Catenacci, Davide",M,"Disegni, Sceneggiatura",IT,P,The Walt Disney Company,
,"Reviati, Davide",M,Autore unico,IT,GN,"Coconino Press, Beccogiallo",
,"Cannucciari, Bruno",M,Disegni,IT,"P, GN","Sergio Bonelli Editore, Tunué",SRF - Scuola Romana dei Fumetti
,"Chendi, Walter",M,Autore unico,IT,GN,Tunué,
,"Ghermandi, Francesca",F,Autrice unica,"FR, IT",GN,"Coconino Press, Logos Edizioni, Seuill",
,"Fabbri, Davide",M,Disegni,"IT, US",P,"Sergio Bonelli Editore, Star Comics, Panini Comics, Dc Comics, Marvel Comics",
,"Buffagni, Cesare",M,Disegni,IT,"P, GN","Sergio Bonelli Editore, Kleiner Flug",
,"Carminati, Michele",M,Autore unico,IT,GN,It Comics,
,"Scarnera, Pietro",M,Autore unico,IT,GN,"Coconino Press, Comma 22",
,"Benfatto, Elisabetta",F,Disegni,IT,GN,Beccogiallo,
,"Scarpa, Laura",F,Autrice unica,"FR, IT",GN,"Comicout, Editions Delcourt",
,"Petrella, Marco",M,Autore unico,IT,GN,Edizioni Clichy,
,"Visintin, Fabio",M,Autore unico,"IT, ES",GN,"Comicout, Spaceman Project",Scuola internazionale di Comics - Padova
,"Grossi, Roberto",M,Autore unico,IT,GN,Coconino Press,
,"Magrelli, Valerio",F,Lettering,IT,GN,Edizioni NPE,
,"Barducci, Armin",M,Autore unico,IT,GN,"Tunué, Eris Edizioni",
,"Santucci, Giorgio",M,Disegni,IT,P,Sergio Bonelli Editore,
,"Carnevali, Adriano",M,Autore unico,IT,GN,Sbam! Comics,
,"Lusso, Piero",M,"Colori, Autore unico, Sceneggiatura",IT,"P, GN","Panini Comics, Bugs Comics, San Paolo Periodici, Sbam Comics, MCK Publishing, Slow Food",
,"Ferraris, Andrea",M,Autore unico,IT,"P, GN","The Walt Disney Company, Coconino Press, Oblomov Edizioni",Scuola internazionale di Comics - Torino
,"Riva, Claudio",M,Sceneggiatura,IT,GN,Beccogiallo,
,"Nardo, Federico",M,Disegni,"FR, IT",GN,"Tunué, ReNoir Comics, Editions Soleil, Editions Glenat",
,"Panaro, Ottavio",M,Disegni,IT,P,The Walt Disney Company,
,"De Vita, Massimo",M,Disegni,IT,P,The Walt Disney Company,
,"Asteriti, Sergio",M,Disegni,IT,P,The Walt Disney Company,
,"Rossi, Sergio",M,Sceneggiatura,IT,GN,"Beccogiallo, Editrice Il Castoro, Centauria",
,"Sarda, Bruno",M,Sceneggiatura,IT,P,The Walt Disney Company,
,"Uggetti, Maria Luisa",F,Disegni,IT,P,The Walt Disney Company,
,"Ubezio, Giampiero",M,Disegni,IT,P,The Walt Disney Company,
,"Michelini, Fabio",M,Sceneggiatura,IT,P,The Walt Disney Company,
,"Mognato, Caterina",F,Sceneggiatura,FR,GN,Editions Glenat,
,"Held, Valerio",M,Disegni,IT,P,The Walt Disney Company,
,"Marconi, Massimo",M,Sceneggiatura,IT,P,The Walt Disney Company,
,"Russo, Nino",M,Sceneggiatura,IT,P,The Walt Disney Company,
,"Mezzavilla, Silvano",M,Sceneggiatura,IT,P,The Walt Disney Company,
,"Amendola, Maurizio",M,Disegni,IT,P,The Walt Disney Company,
,"Salvagnini, Rudy",M,Sceneggiatura,IT,P,The Walt Disney Company,
,"Campinoti, Paolo",M,Disegni,"FR, IT","P, GN","The Walt Disney Company, Editions Jungle",
,"Guerrini, Francesco",M,Disegni,IT,P,The Walt Disney Company,
,"Soldati, Giampaolo",M,Disegni,IT,P,The Walt Disney Company,
,"Intini, Stefano",M,Disegni,IT,P,The Walt Disney Company,
,"Vian, Roberto",M,Disegni,IT,P,The Walt Disney Company,
,"Macchetto, Augusto",M,Sceneggiatura,IT,P,The Walt Disney Company,
,"Morisi, Paolo",M,Autore unico,IT,GN,Kappalab,
,"Cannatella, Paola",F,"Disegni, Autrice unica",IT,GN,"Tunué, Rizzoli Lizard Lizard, Beccogiallo",
,"Gervasio, Marco",M,"Disegni, Sceneggiatura",IT,P,The Walt Disney Company,SRF - Scuola Romana dei Fumetti
,"Baldoni, Davide",M,Disegni,IT,P,The Walt Disney Company,
,"Tulipano, Sergio",M,Sceneggiatura,IT,P,The Walt Disney Company,
,"Milano, Luciano",M,Disegni,IT,P,The Walt Disney Company,
,"Pesce, Riccardo",M,Sceneggiatura,IT,P,The Walt Disney Company,
,"De Bianchi, Cecilia",F,"Disegni, Sceneggiatura",IT,P,The Walt Disney Company,
,"Gula, Ettore",M,Disegni,IT,P,The Walt Disney Company,
,"Migheli, Roberta",F,Disegni,IT,P,The Walt Disney Company,
,"Lucci, Andrea",M,"Disegni, Sceneggiatura",IT,P,The Walt Disney Company,
,"Petruccelli, Stefano",M,Sceneggiatura,IT,P,The Walt Disney Company,
,"Perini, Gaya",F,Sceneggiatura,IT,P,The Walt Disney Company,
,"Panarese, Claudio",M,"Disegni, Sceneggiatura",IT,P,The Walt Disney Company,
,"Mazzon, Michele",M,Disegni,IT,P,The Walt Disney Company,
,"Palazzi, Marco",M,Disegni,IT,P,The Walt Disney Company,
,"Vetro, Daniela",F,"Disegni, Colori, Sceneggiatura","FR, IT","P, GN","The Walt Disney Company, Editions Soleil",
,"Regolo, Daniele",M,Sceneggiatura,IT,P,The Walt Disney Company,
,"Tosolini, Nicola",M,Disegni,IT,P,The Walt Disney Company,
,"Soffritti, Donald",M,Disegni,IT,P,The Walt Disney Company,Corso di fumetto - Arena del Fumetto (Bologna)
,"Meloni, Marco",M,"Disegni, Sceneggiatura",IT,P,"The Walt Disney Company, San Paolo Periodici",Fumé Scuola di fumetto
,"Badino, Sergio",M,Sceneggiatura,IT,"P, GN","The Walt Disney Company, Tunué",Scuola internazionale di Comics - Genova
,"Molinari, Lara",F,Disegni,IT,P,The Walt Disney Company,
,"Savini, Alberto",M,"Sceneggiatura, Lettering",IT,P,The Walt Disney Company,
,"Vitaliano, Fausto",M,Sceneggiatura,IT,P,"Sergio Bonelli Editore, The Walt Disney Company",
,"Salati, Giorgio",M,Sceneggiatura,IT,"P, GN","Sergio Bonelli Editore, The Walt Disney Company, Tunué",Scuola internazionale di Comics - Milano
,"Pastrovicchio, Alessandro",M,Disegni,IT,P,"Sergio Bonelli Editore, The Walt Disney Company",
,"De Lorenzi, Paolo",M,Disegni,IT,P,The Walt Disney Company,
,"Valentini, Massimiliano",M,Sceneggiatura,IT,P,"Astorina, The Walt Disney Company",Scuola internazionale di Comics - Torino
,"Urbano, Emilio",M,Disegni,IT,P,The Walt Disney Company,
,"Monteduro, Max",M,"Disegni, Sceneggiatura",IT,P,The Walt Disney Company,Scuola internazionale di Comics - Firenze
,"Mulazzi, Paola",F,Sceneggiatura,IT,P,The Walt Disney Company,
,"Cabella, Sergio",M,"Disegni, Autore unico, Sceneggiatura",IT,"P, GN","The Walt Disney Company, Shockdom","Scuola di fumetto (Associazione scuola di fumetto - varie sedi), Scuola internazionale di Comics - Genova"
,"Deiana, Salvatore",M,Disegni,IT,P,The Walt Disney Company,
,"Zanotta, Roberta",F,Chine,IT,P,The Walt Disney Company,
,"PEris Edizionisinotto, Giada",F,Disegni,IT,P,The Walt Disney Company,
,"Narciso, Massimiliano",M,Disegni,IT,P,The Walt Disney Company,
,"Cesarello, Davide",M,"Disegni, Sceneggiatura",IT,P,The Walt Disney Company,
,"Mangiatordi, Vitale",M,Disegni,IT,P,The Walt Disney Company,
,"Dalena, Antonello",M,Disegni,"FR, IT","P, GN","The Walt Disney Company, Editions Soleil, Le Editions Le Lombard",
,"Lovelock, Ryan",M,Disegni,"FR, IT","P, GN","Editoriale Cosmo, Akileos",
,"Martinello, Paolo",M,Disegni,"FR, IT","P, GN","Sergio Bonelli Editore, Editions Glenat","Scuola internazionale di Comics - Reggio Emilia, Corso di fumetto - Arena del Fumetto (Bologna)"
,"Pichelli, Sara",F,Disegni,"IT, US",P,"Panini Comics, Marvel Comics",Scuola internazionale di Comics - Roma
,"Panciroli, Luca",M,Disegni,IT,GN,Noise Press,
,"Des Dorides, Fabrizio",M,Disegni,IT,P,"Sergio Bonelli Editore, Bugs Comics",
,"Lupacchino, Emanuela",F,Disegni,"IT, US",P,"Panini Comics, Dc Comics, Marvel Comics",
,"Lopresti, Claudio",M,Disegni,IT,P,Sergio Bonelli Editore,
,"Baldari, Nicoletta",F,Disegni,IT,P,The Walt Disney Company,
,"Rak, Alessandro",M,Autore unico,IT,GN,"Rizzoli Lizard Lizard, Lavieri Edizioni",
,"Scoppetta, Andrea",M,"Disegni, Colori","FR, IT","P, GN","The Walt Disney Company, Lavieri Edizioni, Editions Soleil","Scuola italiana di Comix (Napoli), La scuola del fumetto (Cosenza)"
,"Colombara, Mattia",M,Sceneggiatura,IT,GN,BD,
,"Brandi, Luca",M,Autore unico,IT,GN,Hollow Press,
,"Staltari, Gianfranco",M,Sceneggiatura,IT,GN,Cut Up Publishiung,
,"De Fabritiis, Fabrizio",M,Disegni,IT,P,Sergio Bonelli Editore,
,"Fogolin, Dimitri",M,Colori,FR,GN,Editions Delcourt,
,"Rovero, Pierpaolo",M,Disegni,FR,"P, GN","The Walt Disney Company, Editions Jungle, Editions Glenat",
,"Cacciatore, Michela",F,Disegni,"FR, IT","P, GN","Editoriale Aurea, The Walt Disney Company, Editions Soleil",
,"Di Salvo, Roberto",M,Disegni,IT,P,"Sergio Bonelli Editore, The Walt Disney Company",
,"Bonanno, Francesco",M,Disegni,IT,"P, GN","Sergio Bonelli Editore, ReNoir Comics",
,"Aloi, Sonia",F,Disegni,IT,GN,Tunué,
,"Campanella, Andrea",M,Sceneggiatura,IT,GN,Tunué,
,"Fantelli, Stefano",M,Sceneggiatura,IT,GN,Edizioni Inkiostro,
,"Penco, Michele",M,Autore unico,IT,GN,"Kleiner Flug, Edizioni NPE",Scuola internazionale di Comics - Firenze
,"Sonseri, Marco",M,Disegni,FR,GN,Editions Clair de Lune,
,"Comandini, Marina",F,"Disegni, Colori",IT,GN,"Fandango Libri, Round Robin",
,"Matticchio, Franco",M,Autore unico,IT,GN,Rizzoli Lizard Lizard,
,"Carpinteri, Giorgio",M,Autore unico,IT,GN,Oblomov Edizioni,
,"Sagramola, Giulia",F,Autrice unica,IT,GN,"BAO Publishing, Topipittori",
,"Manfredi, Federica",F,Disegni,"FR, IT, US",P,"Marvel Comics, IDW Publishing",
,"Barletta, Elisabetta",F,Disegni,IT,P,Sergio Bonelli Editore,
,"Maconi, Gianluca",M,Disegni,"FR, IT, US","P, GN","Sergio Bonelli Editore, Star Comics, Beccogiallo, Walt Disney Production, Editions Soleil, BD, Alias - il Manifesto","Scuola internazionale di Comics - Reggio Emilia, Corso di fumetto - Arena del Fumetto (Bologna)"
,"Ambrosio, Raffaele",M,Sceneggiatura,FR,GN,Editions Mosquito,
,"De Luca, Mauro",M,Disegni,FR,GN,"Les Humanoides Associes, Editions Soleil, Le Editions Le Lombard",SRF - Scuola Romana dei Fumetti
,"Landini, Stefano",M,Disegni,"FR, IT, US",P,"Sergio Bonelli Editore, Dc Comics, Marvel Comics, Editions Glenat",Scuola internazionale di Comics - Reggio Emilia
,"Ferri, Cosimo",M,Autore unico,FR,GN,"Tabou, Original Watts",
,"Russo, Luca",M,Autore unico,"FR, IT",GN,"Tunué, Editions Mosquito",Scuola italiana di Comix (Napoli)
,"Forlini, Valentino",M,Disegni,IT,P,The Walt Disney Company,
,"Lecce, Emilio",M,Disegni,IT,P,"Editoriale Cosmo, Cut Up Publishing",
,"Russo, Marco",M,Disegni,US,P,Marvel Comics,
,"Montalbano, Claudio",M,Disegni,IT,"P, GN","Sergio Bonelli Editore, Edizioni Inkiostro",
,"Bermejo, Lee",M,Disegni,"IT, US",P,"Panini Comics, Marvel Comics",
,"Pesce, Massimo",M,Disegni,IT,P,Sergio Bonelli Editore,
,"Editions Le Lombardi, Rocco",M,Disegni,IT,GN,Beccogiallo,
,"Grasso, Emilio",M,Disegni,IT,P,The Walt Disney Company,
,"Laiso, Emilio",M,Disegni,"IT, US",P,"Panini Comics, Dc Comics, Marvel Comics",SRF - Scuola Romana dei Fumetti
,"Castiello, Marco",M,Disegni,"FR, US","P, GN","Dc Comics, Marvel Comics, Editions Delcourt",Scuola italiana di Comix (Napoli)
,"Cucca, Vincenzo",M,Disegni,"FR, US","P, GN","Marvel Comics, Editions Glenat, Le Editions Le Lombard",Scuola internazionale di Comics - Pescara
,"Centomo, Katja",F,Sceneggiatura,"FR, IT","P, GN","The Walt Disney Company, Tunué, Les Humanoides Associes",
,"Giusti, Nazareno",M,Autore unico,IT,GN,"Hazard Edizioni, Round Robin",
,"Antiga, Paolo",M,Disegni,"FR, IT","P, GN","Star Comics, Edizioni Inkiostro, Bugs Comics, Petit à Petit",
,"Piccioni, Rossano",M,Disegni,IT,GN,"Feltrinelli Editore, Edizioni Inkiostro",
,"Simone, Simona",F,Disegni,IT,GN,Edizioni Inkiostro,
,"Gallo Lassere, Andrea",M,Sceneggiatura,IT,GN,"Edizioni Inkiostro, Edizioni NPE, Rustblade Records",
,"Loizedda, Danilo",M,Disegni,"FR, IT","P, GN","The Walt Disney Company, Editions Glenat",Scuola Mohole (Milano)
,"Mantovani, Fabio",M,Disegni,FR,GN,"Les Humanoides Associes, Editions Delcourt",Scuola internazionale di Comics - Roma
,"Zaghi, Lorenzo",M,Disegni,"IT, US",P,"Panini Comics, Dc Comics, Marvel Comics",
,"Zambelli, Marco",M,"Disegni, Colori",IT,GN,"BAO Publishing, It Comics",Scuola internazionale di Comics - Milano
,"Florio, Gianfranco",M,Disegni,IT,P,The Walt Disney Company,
,"Biagini, Francesco",M,Disegni,"FR, US","P, GN","Editions Soleil, Boom! Studios",
,"Caselli, Stefano",M,Disegni,"IT, US",P,"Panini Comics, Marvel Comics",SRF - Scuola Romana dei Fumetti
,"Colaone, Sara",F,Autrice unica,IT,GN,"Coconino Press, Oblomov Edizioni, Solferino",Accademia di Belle Arti di Bologna (Corso fumetto e illustrazione)
,"Borsoni, Riccardo",M,Sceneggiatura,"FR, IT","P, GN","Star Comics, Kawama",Scuola internazionale di Comics - Brescia
,"Frongia, Francesco",M,Autore unico,IT,GN,Eris Edizioni,The Sign - Comics & Arts Academy (Firenze)
,"Ascari, Stefano",M,Sceneggiatura,IT,GN,Kleiner Flug,
,"Riccadonna, Andrea",M,Disegni,IT,"P, GN","Sergio Bonelli Editore, Kleiner Flug",Scuola internazionale di Comics - Torino
,"Menetti, Sara",F,Autrice unica,IT,GN,Feltrinelli Editore,Corso di fumetto - Arena del Fumetto (Bologna)
,"Ronchi, Roberto",M,Disegni,IT,P,The Walt Disney Company,
,"Mazzarello, Marco",M,Disegni,IT,P,The Walt Disney Company,
,"Marini, Enrico",M,"Disegni, Sceneggiatura",FR,GN,Dargaud,
,"Cirillo, Jacopo",M,Sceneggiatura,IT,P,The Walt Disney Company,
,"Ferrari, Alessandro",M,Sceneggiatura,"FR, IT","P, GN","The Walt Disney Company, Editions Delcourt",
,"Di Vita, Giorgio",M,Disegni,IT,P,The Walt Disney Company,Pencil ART (Bari)
,"Barozzi, Danilo",M,"Disegni, Sceneggiatura",IT,P,The Walt Disney Company,Scuola del fumetto (Milano)
,"Velluto, Sal",M,Disegni,IT,P,Sergio Bonelli Editore,
,"Giretti, Federico",M,Colori,IT,P,Sergio Bonelli Editore,
,"Gianfelice, Davide",M,Disegni,"IT, US",P,"Sergio Bonelli Editore, Panini Comics, Marvel Comics",Scuola internazionale di Comics - Milano/Torino
,"Critone, Luigi",M,Disegni,FR,GN,"Casterman, Editions Soleil, Editions Delcourt",
,"Macaione, Giulio",M,Autore unico,"IT, US",GN,"BAO Publishing, Panini Comics, Boom! Studios",Scuola internazionale di Comics - Reggio Emilia
,"Giorello, Giulio",M,Sceneggiatura,IT,P,The Walt Disney Company,
,"Argnani, Giulia",F,Disegni,IT,GN,"Tunué, BD",
,"Callerami, Salvatore",M,"Disegni, Autore unico",IT,GN,"Shockdom, Beccogiallo",
,"Surroz, Mattia",M,Disegni,IT,"P, GN","Sergio Bonelli Editore, The Walt Disney Company, Shockdom","IED - Istituto Europeo di Disegni (Torino), Scuola internazionale di Comics - Torino"
,"Albertini, Giorgio",M,"Disegni, Sceneggiatura","FR, IT","P, GN","Panini Comics, Casterman, Editions Delcourt",Scuola internazionale di Comics - Milano
,"Federici, Riccardo",M,Disegni,FR,GN,Editions Delcourt,SRF - Scuola Romana dei Fumetti
,"Canfailla, Christian",M,Disegni,FR,GN,Editions Dupuis,
,"Rocchetti, Michael",M,Autore unico,IT,GN,"BAO Publishing, Coconino Press",
,"Rossetto, Andrea",M,Disegni,"FR, IT","P, GN","Sergio Bonelli Editore, ReNoir Comics, Les Humanoides Associes, Edizioni NPE",Scuola internazionale di Comics - Padova
,"La Padula, Grazia",F,Disegni,"FR, IT",GN,"Tunué, Editions Paquet",IED - Istituto Europeo di Disegni (Roma)
,"Fenati, Massimo",M,Autore unico,IT,GN,Feltrinelli Editore,
,"Pennacchioli, Gabriele",M,Disegni,IT,P,Sergio Bonelli Editore,
,"Ruggeri, Mirka",F,Disegni,IT,GN,"Tunué, Editrice Il Castoro",
,"Aleandri, Paolo",M,Disegni,US,P,,
,"Faina, Fabrizio",M,Disegni,FR,GN,Editions Soleil,Scuola di fumetto (Associazione scuola di fumetto - varie sedi)
,"Wallnofer, Giampiero",M,"Disegni, Colori",IT,P,"Sergio Bonelli Editore, Bugs Comics",
,"Salvatori, Mauro",M,Disegni,FR,GN,Editions Soleil,Scuola di fumetto (Associazione scuola di fumetto - varie sedi)
,"Ricciardi, Giuseppe",M,Disegni,"FR, IT",GN,"Editions Soleil, Edizioni NPE",Scuola italiana di Comix (Napoli)
,"Meloni, Andrea",M,Colori,"FR, IT","P, GN","Sergio Bonelli Editore, Editions Glenat",
,"Petrossi, Fabrizio",M,"Disegni, Colori",IT,P,The Walt Disney Company,
,"Legramandi, Francesco",M,Disegni,IT,P,The Walt Disney Company,
,"Greppi, Andrea",M,"Disegni, Colori",IT,P,The Walt Disney Company,
,"Picuno, Elisa",F,"Disegni, Lettering",IT,P,The Walt Disney Company,
,"Stella, Cristina",F,Chine,IT,P,The Walt Disney Company,
,"Salucci, Virginia",F,Autrice unica,IT,GN,Shockdom,
,"Alessi Anghini, Alessandro",M,"Disegni, Colori, Sceneggiatura",IT,GN,"ReNoir Comics, Tatai Lab, Manfont",
,"Razzi, Manuela",F,Disegni,"FR, IT","P, GN","The Walt Disney Company, Le Editions Le Lombard",
,"Messina, David",M,Disegni,"IT, US",P,"Panini Comics, Dc Comics, Marvel Comics",Scuola internazionale di Comics - Roma
,"Masaya, Martina",F,Autrice unica,IT,GN,Shockdom,
,"Ventura, Marco",M,"Sceneggiatura, Lettering",IT,GN,"Shockdom, RW Edizioni - Goen, Manfont, Elledici",
,"Pasta, Michele",M,Disegni,"FR, IT","P, GN","Panini Comics, Editions Delcourt",
,"Baggio, Marina",F,Chine,IT,P,The Walt Disney Company,
,"Piras, Luigi",M,Disegni,IT,P,The Walt Disney Company,
,"Speca, Silvio",F,Disegni,IT,P,The Walt Disney Company,Scuola internazionale di Comics - Pescara
,"Forcelloni, Claudia",F,Disegni,FR,GN,Editions Jungle,
,"Panniello, Gianluca",M,Disegni,"FR, IT","P, GN","The Walt Disney Company, Editions Clair de Lune",
,"Lepera, Stefania",F,Sceneggiatura,IT,P,The Walt Disney Company,
,"Sansone, Giuseppe",M,"Disegni, Sceneggiatura",IT,P,The Walt Disney Company,Grafite - Scuola di grafica e fumetto (Taranto)
,"De Mojana, NiccolÃ²",M,Sceneggiatura,IT,P,The Walt Disney Company,
,"Vessella, Daniele",M,Sceneggiatura,IT,P,The Walt Disney Company,
,"Facciotto, Giuseppe",M,Disegni,IT,P,The Walt Disney Company,Scuola del fumetto (Verona)
,"Catellani, Emilio",M,Disegni,IT,P,The Walt Disney Company,
,"Menichetti, Chiara",F,Sceneggiatura,IT,GN,Shockdom,
,"Pizziolo, Sandro",M,Disegni,IT,GN,Shockdom,
,"Florean, Arianna",F,Disegni,"FR, IT, US",P,"Panini Comics, Dc Comics, Marvel Comics, Editions Delcourt",
,"Capovilla, Simona",F,Disegni,IT,GN,Libreria Geografica,
,"Boscolo, Andrea",M,Disegni,IT,GN,Shockdom,
,"Ferrero, Jessica",F,Disegni,IT,GN,Shockdom,
,"Di Chiara, Viviana",F,Colori,IT,GN,Noise Press,
