"","Nome d'arte","Nome","Sesso","Attivit‡","Paesi.di.prima.pubblicazione","Mercati","Editori","Insegna.presso","ISBN"
"1537",NA,"Quaglia, Marta","F","Disegni","IT","GN","Shockdom","",""
"1538",NA,"Quaglia, Sauro","M","Disegni","IT","P","Sergio Bonelli Editore","",""
"1539",NA,"Qualano, Pasquale","M","Disegni","IT, USA","P","DC Comics, IDW Publishing, Marvel Comics","",""
"1540",NA,"Quarello, Maurizio","M","Autore Unico","FR","GN","Editions des elephants","",""
"1541",NA,"Quattrocchi, Giuseppe Carlo","M","Disegni","IT, FR","GN","…ditions Glenat, …ditions Soleil, Rizzoli Lizard","Scuola del fumetto (Verona/Milano)",""
"1542",NA,"Racca, Emanuele","M","Autore Unico","IT","GN","Bao Publishing","",""
"1543",NA,"Raddi, Valentina","F","Disegni","IT","GN","Kleiner Flug, Shockdom","",""
"1544",NA,"Radice, Teresa","F","Sceneggiatura","IT, FR","P, GN","Bao Publishing, Dargaud, The Walt Disney Company","",""
"1545",NA,"Raffaele, Stefano","M","Disegni","IT, FR, USA","P, GN","DC Comics, …ditions Soleil, Les Humanoides Associes, Marvel Comics, SaldaPress","",""
"1546",NA,"Raffaelli, Paolo","M","Disegni","IT, FR","P, GN","…ditions Clair de Lune, Sergio Bonelli Editore","",""
"1547",NA,"Ragazzoni, Luciano","M","Disegni","IT","P","Sergio Bonelli Editore","",""
"1548",NA,"Ragazzoni, Simone","M","Colori","IT","P, GN","BD, Sergio Bonelli Editore","",""
"1549",NA,"Ragona, Andrea","M","Sceneggiatura","IT","GN","BeccoGiallo","",""
"1550",NA,"Raho, Rosario","M","Disegni","IT","P","Sergio Bonelli Editore","",""
"1551",NA,"Raimondi, Chiara","F","Disegni","IT","GN","Shockdom","",""
"1552",NA,"Raimondo, Luca","M","Disegni","IT, FR","P, GN","…ditions Glenat, …ditions Soleil, Sergio Bonelli Editore","",""
"1553",NA,"Rak, Alessandro","M","Autore Unico","IT","GN","Lavieri Edizioni, Rizzoli Lizard","",""
"1554",NA,"Ralli, Luca","M","Autore Unico","IT","GN","Barta Edizioni, Round Robin","",""
"1555",NA,"Ramacci, Fabio","M","Disegni","IT","P","Sergio Bonelli Editore, Star Comics","",""
"1556",NA,"Ramella, Bruno","M","Disegni","IT","P","Sergio Bonelli Editore","",""
"1557",NA,"Ramella, Giuliano","M","Sceneggiatura","IT","GN","ReNoir Comics","",""
"1558",NA,"Randazzo, Riccardo","M","Disegni","IT","P","Bugs Comics, Edizioni INKiostro","",""
"1559",NA,"Ranghiasci, Alessandro","M","Disegni","IT","GN","BeccoGiallo","",""
"1560",NA,"Rasori, Augusto","M","Autore Unico","IT","GN","Sbam! Comics","",""
"1561",NA,"Rastrelli, Marco","M","Sceneggiatura","IT, FR","GN","Kleiner Flug, Tabou","",""
"1562",NA,"Rauch, Jacopo","M","Sceneggiatura","IT","P","Sergio Bonelli Editore","",""
"1563",NA,"Raule, Suzanna","F","Sceneggiatura","IT, FR","P, GN","Casterman, Panini Comics","",""
"1564",NA,"Ravazzani, Alessio","M","Lettering","IT","P, GN","Coconino Press, Panini Comics, SaldaPress, Sergio Bonelli Editore","",""
"1565",NA,"Ravera, Roberto","M","Sceneggiatura","IT","P","Sergio Bonelli Editore","",""
"1566",NA,"Razzi, Manuela","F","Disegni","IT, FR","P, GN","…ditions le Lombard, The Walt Disney Company","",""
"1567","Nuke","Razzoli, Claudia","F","Autrice Unica","IT","GN","Kleiner Flug, Rizzoli Lizard","",""
"1568",NA,"Rea, Arianna","F","Disegni","IT, FR","GN","…ditions Soleil, The Walt Disney Company, TunuÈ","SRF - Scuola Romana dei Fumetti",""
"1569",NA,"Rea, Roberta","F","Autrice Unica","IT","GN","Shockdom","",""
"1570",NA,"Recagno, Carlo","M","Sceneggiatura","IT","P","Sergio Bonelli Editore","",""
"1571",NA,"Recchione, Liana","F","Colori, Disegni","IT","GN","Shockdom","Scuola internazionale di Comics - Pescara",""
"1572",NA,"Recchioni, Roberto","M","Autore Unico, Sceneggiatura","IT","P, GN","Bao Publishing, Edizioni NPE, Feltrinelli Editore, Sergio Bonelli Editore","SRF - Scuola Romana dei Fumetti",""
"1573","Zerocalcare","Rech, Michele","M","Autore Unico","IT","GN","Bao Publishing","",""
"1574",NA,"Recupero, Antonio","M","Sceneggiatura","IT","GN","Round Robin, TunuÈ","",""
"1575",NA,"Regattin, Matteo","M","Autore Unico","IT","GN","Edizioni NPE","",""
"1576",NA,"Regazzoni, Luciano","M","Disegni","IT","P","Sergio Bonelli Editore","",""
"1577",NA,"Regni, Angelica","F","Disegni","IT","GN","Kleiner Flug","",""
"1578",NA,"Regolo, Daniele","M","Sceneggiatura","IT","P","The Walt Disney Company","",""
"1579",NA,"Reize, Alekos","M","Autore Unico","IT","GN","BeccoGiallo","",""
"1580",NA,"Renieri, Tommaso","M","Disegni","FR","GN","…ditions Clair de Lune","",""
"1581",NA,"Renna, Marco","M","Disegni","IT, USA","P","DC Comics, Marvel Comics, Panini Comics","",""
"1582",NA,"Repossi, Alessandra","F","Sceneggiatura","IT","GN","BeccoGiallo","",""
"1583",NA,"Resinanti, Matteo","M","Disegni","IT","P","Sergio Bonelli Editore","",""
"1584",NA,"Restardi, Marcello","M","Disegni","IT","GN","BeccoGiallo","",""
"1585",NA,"Reviati, Davide","M","Autore Unico","IT","GN","BeccoGiallo, Coconino Press","",""
"1586",NA,"Riboldi, Enea","M","Disegni","FR","GN","Casterman, Dargaud, …ditions Glenat, Les Humanoides Associes","Scuola internazionale di Comics - Milano",""
"1587",NA,"Riboldi, Riccardo","M","Lettering","IT","P","Sergio Bonelli Editore","",""
"1588",NA,"Ricca, Luigi","M","Autore Unico","IT","GN","TunuÈ","",""
"1589",NA,"Riccadonna, Andrea","M","Disegni","IT","P, GN","Kleiner Flug, Sergio Bonelli Editore","Scuola internazionale di Comics - Torino",""
"1590",NA,"Riccardi, Sergio","M","Disegni","IT","GN","TunuÈ","",""
"1591",NA,"Riccardi, Vincenzo","M","Disegni","IT, FR","P, GN","…ditions Clair de Lune, Sergio Bonelli Editore, Vestron","",""
"1592",NA,"Ricci, Angelo Maria","M","Disegni","IT","P","Astorina","",""
"1593",NA,"Ricci, Marco","M","Disegni","IT","P","Astorina","",""
"1594",NA,"Ricci, Roberto","M","Disegni","FR","GN","Dargaud, Futuropolis, Les Humanoides Associes","",""
"1595",NA,"Ricci, Stefano","M","Autore Unico","IT, DE","GN","Coconino Press, Quodlibet","",""
"1596",NA,"Ricciardi, Giuseppe ""Iko""","M","Disegni","IT, FR","GN","…ditions Soleil, Edizioni NPE","Scuola italiana di Comix (Napoli)",""
"1597",NA,"Riccio, Giuseppe","M","Sceneggiatura","IT","P","Sergio Bonelli Editore","",""
"1598",NA,"Riccio, Maria","F","Disegni","IT, FR","P, GN","Edizioni INKiostro, Petit ‡ Petit","",""
"1599",NA,"Riccio, Renato","M","Disegni","IT","P","Sergio Bonelli Editore","",""
"1600",NA,"Riccioni, Francesca","F","Sceneggiatura","IT","GN","Rizzoli Lizard","",""
"1601",NA,"Rigamonti, Davide","M","Sceneggiatura","IT","P","Sergio Bonelli Editore","",""
"1602",NA,"Rigano, Giovanni","M","Disegni","IT","P","Sergio Bonelli Editore, The Walt Disney Company","",""
"1603",NA,"Righi, Nicola","M","Colori","IT","P","Sergio Bonelli Editore","",""
"1604",NA,"Rinaldi, Pino","M","Disegni","FR","GN","…ditions Soleil","",""
"1605",NA,"Rinaldi, Roberto","M","Disegni","IT","P","Sergio Bonelli Editore","",""
"1606",NA,"Rincione, Giulio","M","Disegni","IT","P, GN","Sergio Bonelli Editore, Shockdom","Scuola internazionale di Comics - Napoli",""
"1607",NA,"Rincione, Marco","M","Sceneggiatura","IT","GN","Shockdom","",""
"1608",NA,"Ripane, Alessandro","M","Autore Unico","IT","GN","Hoppipolla","",""
"1609",NA,"Ripoli, Francesco","M","Disegni","IT, FR","P, GN","BD, …ditions Soleil, Physalis, Sergio Bonelli Editore","",""
"1610",NA,"Risuleo, Fulvio","M","Autore Unico, Sceneggiatura","IT","GN","001 Edizioni, Coconino Press","",""
"1611",NA,"Riva, Claudio","M","Sceneggiatura","IT","GN","BeccoGiallo","",""
"1612",NA,"Rizzato, Francesco","M","Disegni","IT","P","Sergio Bonelli Editore","",""
"1613",NA,"Rizzi, Enzo","M","Sceneggiatura","IT","GN","Cut Up Publishing, Edizioni NPE","Grafite - Scuola di grafica e fumetto (Taranto)",""
"1614",NA,"Rizzo, Marco","M","Sceneggiatura","IT","GN","BD, BeccoGiallo, Feltrinelli Editore, Rizzoli Lizard","",""
"1615",NA,"Rocca, Massimo","M","Colori","IT, FR","P, GN","…ditions Delcourt, The Walt Disney Company","",""
"1616","Maicol & Mirco","Rocchetti, Michael","M","Autore Unico","IT","GN","Bao Publishing, Coconino Press","",""
"1617",NA,"Rocchi, Ciaj","M","Disegni","IT","GN","BeccoGiallo","",""
"1618",NA,"Rocchi, Diana","F","Lettering","IT","P","Sergio Bonelli Editore","",""
"1619",NA,"Rocchi, Marco","M","Sceneggiatura","IT","GN","Kleiner Flug, TunuÈ","",""
"1620",NA,"Rocchi, Silvia","F","Autrice Unica","IT","GN","BeccoGiallo, Canicola Edizioni, Rizzoli Lizard","",""
"1621",NA,"Roi, Corrado","M","Disegni","IT","P","BD, Sergio Bonelli Editore","",""
"1622",NA,"Rollo, Enrico Gabriele","M","Colori","IT","P, GN","Sergio Bonelli Editore, TunuÈ","",""
"1623",NA,"Romagnoli, Elisabetta","F","Autrice Unica","IT","GN","Bao Publishing","",""
"1624",NA,"Romagnoli, Laura","F","Autrice Unica","IT","GN","BeccoGiallo","",""
"1625",NA,"Romboli, Elisa","F","Disegni","IT","GN","Shockdom","",""
"1626",NA,"Romeo, Alessandro","M","Autore Unico","IT","GN","Canicola Edizioni","",""
"1627",NA,"Romeo, Valentina","F","Disegni","IT","P","Sergio Bonelli Editore","",""
"1628",NA,"Ronchi, Roberto","M","Disegni","IT","P","The Walt Disney Company","",""
"1629",NA,"Rosenzweig, Maurizio","M","Disegni","IT","P, GN","BD, Sergio Bonelli Editore","",""
"1630",NA,"Rosi, Massimo","M","Sceneggiatura","IT, FR, USA","P, GN","Action Lab Entertainment, Caliber Comics, …ditions Delcourt, Leviathan Labs, Scout Comics, Shockdom","The Sign - Comics & Arts Academy (Firenze)",""
"1631","Holdenaccio","Rossetti, Antonio","M","Autore Unico","IT","GN","Bao Publishing","",""
"1632",NA,"Rossetti, Eva","F","Disegni","IT, FR","GN","BeccoGiallo, Steinkis","",""
"1633",NA,"Rossetto, Andrea","M","Disegni","IT, FR","P, GN","Edizioni NPE, Les Humanoides Associes, ReNoir Comics, Sergio Bonelli Editore","Scuola internazionale di Comics - Padova",""
"1634",NA,"Rossi Edrighi, Federico","M","Autore Unico","IT","P, GN","Bao Publishing, Coconino Press, Sergio Bonelli Editore, Star Comics, The Walt Disney Company","",""
"1635",NA,"Rossi, Armando","M","Disegni","IT, FR","P, GN","Casterman, Panini Comics","",""
"1636",NA,"Rossi, Filippo","M","Sceneggiatura","IT","GN","Kleiner Flug","Scuola internazionale di Comics - Firenze",""
"1637",NA,"Rossi, Francesco","M","Disegni","IT","GN","Shockdom","",""
"1638",NA,"Rossi, Luca","M","Disegni","IT","P","Sergio Bonelli Editore","",""
"1639","Majo","Rossi, Mario","M","Disegni","IT","P","Sergio Bonelli Editore","",""
"1640",NA,"Rossi, Mario","M","Disegni","IT","P","Sergio Bonelli Editore","",""
"1641","Sonno","Rossi, Michela","F","Autrice Unica","IT","GN","Einaudi, Feltrinelli Editore","",""
"1642",NA,"Rossi, Monica","F","Autrice Unica, Colori, Disegni","IT","P, GN","Corriere della Sera/La Lettura, Diabolo Edizioni, La Stampa/Tuttolibri, Parapiglia, Solferino Libri","",""
"1643",NA,"Rossi, Rossano","M","Disegni","IT","P","Sergio Bonelli Editore","",""
"1644",NA,"Rossi, Sergio","M","Sceneggiatura","IT","GN","BeccoGiallo, Centauria, Editrice Il Castoro","",""
"1645",NA,"Rossin, Fabio Ramiro","M","Autore Unico","IT","GN","Coconino Press","Scuola superiore d'arte applicata (Milano)",""
"1646",NA,"Rosso, Emanuele","M","Autore Unico","IT","GN","BeccoGiallo, Coconino Press, TunuÈ","IED - Istituto Europeo di Disegni (Torino)",""
"1647",NA,"Rota, Marco","M","Disegni","IT","P","The Walt Disney Company","",""
"1648",NA,"Rotundo, Massimo","M","Disegni","IT","P","Sergio Bonelli Editore","SRF - Scuola Romana dei Fumetti",""
"1649",NA,"Rovero, Pier Paolo","M","Disegni","FR","P, GN","…ditions Glenat, …ditions Jungle, The Walt Disney Company","",""
"1650","Violetta Rocks","Rovetto, Violetta","F","Sceneggiatura","IT","GN","Shockdom","",""
"1651",NA,"Rubegni, Riccardo","M","Disegni","IT","GN","Weird Book","",""
"1652",NA,"Rubini, Michele","M","Disegni","IT","P","Sergio Bonelli Editore","SRF - Scuola Romana dei Fumetti",""
"1653",NA,"Rubino, Maurizia","F","Autrice Unica, Disegni","IT, USa","GN","Bao Publishing, BOOM! Studios","",""
"1654",NA,"Rudoni, Daniele","M","Colori","IT","P","Sergio Bonelli Editore","",""
"1655",NA,"Rufino, Chiara","F","Sceneggiatura","IT","P","Sergio Bonelli Editore","",""
"1656",NA,"Ruggeri, Mirka","F","Disegni","IT","GN","Editrice Il Castoro, TunuÈ","",""
"1657",NA,"Ruggeri, Piero","M","Disegni","FR","GN","Le Cycliste, Petit ‡ Petit","Corso di fumetto - Arena del Fumetto (Bologna)",""
"1658",NA,"Ruggiero, Francesca","F","Sceneggiatura","IT","GN","Eris Edizioni","",""
"1659",NA,"Ruggiero, Lorenzo","M","Chine, Colori","USA","P","DC Comics, Marvel Comics","Scuola internazionale di Comics - Napoli",""
"1660",NA,"Ruju, Pasquale","M","Sceneggiatura","IT","P, GN","Feltrinelli Editore, Sergio Bonelli Editore","",""
"1661",NA,"Rullo, Riccardo","M","Colori","IT","P","Sergio Bonelli Editore","",""
"1662",NA,"Rumiz, Susanna","F","Disegni","IT","GN","Bao Publishing","",""
"1663",NA,"Ruocco, Luca","M","Sceneggiatura","IT","P","Bugs Comics","",""
"1664",NA,"Ruotolo, Fabio","M","Colori, Disegni","IT, FR","GN","…ditions Caurette, Lavieri Edizioni","Scuola internazionale di Comics - Torino",""
"1665",NA,"Russo, Alessandro","M","Disegni, Sceneggiatura","IT","P","Sergio Bonelli Editore","",""
"1666",NA,"Russo, Fabrizio","M","Disegni","IT, FR","P, GN","Petit ‡ Petit, Sergio Bonelli Editore","",""
"1667",NA,"Russo, Luca","M","Autore Unico","IT, FR","GN","Editions Mosquito, Mosquito, TunuÈ","Scuola italiana di Comix (Napoli)",""
"1668",NA,"Russo, Luisa","F","Chine, Colori, Disegni","FR, USA","P, GN","Dark Horse Comics, …ditions Clair de Lune, …ditions du Long Bec, Editions du Signe","",""
"1669",NA,"Russo, Marco","M","Disegni","USA","P","Marvel Comics","",""
"1670",NA,"Russo, Nino","M","Sceneggiatura","IT","P","The Walt Disney Company","",""
"1671",NA,"Ruvidotti, Lucio","M","Autore Unico","IT","GN","BD, Feltrinelli Editore","",""
"1672",NA,"Ruzzier, Sergio","M","Autore Unico","IT, USA","GN","Topipittori","",""
"1673",NA,"Sabella, Arianna","F","Colori","FR","GN","…ditions Soleil","",""
"1674",NA,"Saccani, Clarissa","F","Lettering","IT","P","Editoriale Cosmo","",""
"1675",NA,"Sacchetti, Franco","M","Autore Unico","IT","GN","Round Robin","",""
"1676","Sakka","Sacchi, Roberta","F","Disegni","IT","GN","BeccoGiallo, Star Comics","",""
"1677",NA,"Saccoman, Isacco","M","Disegni","IT, FR","GN","BeccoGiallo, …ditions Dupuis","Scuola internazionale di Comics - Padova",""
"1678",NA,"Sada, Marco","M","Disegni","IT","GN","RenBooks","Scuola internazionale di Comics - Padova",""
"1679",NA,"Sagramola, Giulia","F","Autrice Unica","IT","GN","Bao Publishing, Topipittori","",""
"1680",NA,"Salade, Pierre","M","Sceneggiatura","IT","P","The Walt Disney Company","",""
"1681",NA,"Salati, Giorgio","M","Sceneggiatura","IT","P, GN","Sergio Bonelli Editore, The Walt Disney Company, TunuÈ","Scuola internazionale di Comics - Milano",""
"1682",NA,"Salfo, Federica","F","Disegni","IT","P","The Walt Disney Company","",""
"1683",NA,"Salici, Luca","M","Sceneggiatura","IT","GN","Round Robin","",""
"1684",NA,"Salsi, Lisa","F","Disegni","IT","P","Bugs Comics","",""
"1685",NA,"Salucci, Virginia","F","Autrice Unica","IT","GN","Shockdom","",""
"1686",NA,"Salvagnini, Rudy","M","Sceneggiatura","IT","P","The Walt Disney Company","",""
"1687",NA,"Salvagno, Luca","M","Autore Unico","IT","P","Arnoldo Mondadori Editore, BeccoGiallo, Mondadori, San Paolo Periodici","",""
"1688",NA,"Salvatori, Mauro","M","Disegni","FR","GN","…ditions Soleil","Scuola di fumetto (Associazione scuola di fumetto - varie sedi)",""
"1689","Bart","Salvemini, Davide","M","Autore Unico","IT","GN","Eris Edizioni, Hoppipolla","",""
"1690",NA,"Sambuco, Samuele","M","Autore Unico","IT","GN","Hazard Edizioni","",""
"1691",NA,"Sammarco, Nicola","M","Disegni","IT","P","The Walt Disney Company","",""
"1692",NA,"Sammartino, Lucio","M","Sceneggiatura","IT","P","Sergio Bonelli Editore","",""
"1693",NA,"Sanapo, Maria Laura","F","Chine, Disegni","USA","P","DC Comics, Dynamite Entertainment","Scuola internazionale di Comics - Firenze",""
"1694",NA,"Sanfelice, Marina","F","Lettering","IT","P","Sergio Bonelli Editore","",""
"1695",NA,"Sanna, Alessandro","M","Autore Unico","IT","GN","Coconino Press","",""
"1696",NA,"Sansone, Giuseppe","M","Disegni, Sceneggiatura","IT","P","The Walt Disney Company","Grafite - Scuola di grafica e fumetto (Taranto)",""
"1697",NA,"Sansone, Vincenzo","M","Disegni","USA","P","Approbation Comics, Dead Canary Comics, Rio Bravo Comics, TidalWave Productions","",""
"1698",NA,"Santagati, Federico","M","Disegni","USA","P","Marvel Comics","",""
"1699",NA,"Santaniello, Matteo","M","Disegni","IT","P","Sergio Bonelli Editore","",""
"1700",NA,"Santarelli, Dario","M","Colori","IT","P","Sergio Bonelli Editore","",""
"1701",NA,"Santarelli, Stefano","M","Sceneggiatura","IT","P","Sergio Bonelli Editore","SRF - Scuola Romana dei Fumetti",""
"1702",NA,"Santi, Francesca","F","Sceneggiatura","IT","GN","BD","",""
"1703",NA,"Santi, Vittorio","M","Disegni","IT","GN","BeccoGiallo","Scuola internazionale di Comics - Brescia",""
"1704",NA,"Santoni, Manuela","F","Autrice Unica","IT","GN","BeccoGiallo","Pencil ART (Bari)",""
"1705",NA,"Santoro, Alessandro","M","Colori","IT","GN","Magazzini Salani, Magic Press Edizioni","",""
"1706",NA,"Santoro, Stefano","M","Disegni","IT","P","Sergio Bonelli Editore","",""
"1707",NA,"Santucci, Giorgio","M","Disegni","IT","P","Sergio Bonelli Editore","",""
"1708",NA,"Santucci, Marco","M","Disegni","IT, USA","P","DC Comics, Marvel Comics, Panini Comics, Sergio Bonelli Editore","",""
"1709",NA,"Saponti, Luca","M","Colori, Disegni","IT, FR","P, GN","…ditions Glenat, …ditions Soleil, Sergio Bonelli Editore","",""
"1710",NA,"Sarchione, Antonio","M","Disegni","FR","GN","…ditions Delcourt","",""
"1711",NA,"Sarda, Bruno","M","Sceneggiatura","IT","P","The Walt Disney Company","",""
"1712",NA,"Sardano, Cisco","M","Autore Unico","IT","GN","BeccoGiallo","",""
"1713",NA,"Sardina, Toni","M","Sceneggiatura","IT","GN","Ex Libris","",""
"1714",NA,"Saresin, Francesco","M","Autore Unico","IT","GN","Canicola Edizioni","",""
"1715",NA,"Sarritzu, Martina","F","Disegni","IT","GN","Canicola Edizioni","",""
"1716",NA,"Sartor, Cristiano","M","Disegni","IT","GN","Edizioni INKiostro","",""
"1717",NA,"Sartori, Leonora","F","Sceneggiatura","IT","GN","BeccoGiallo","",""
"1718",NA,"Sartori, Lorenzo","M","Autore Unico","IT","GN","TunuÈ","Scuola superiore d'arte applicata (Milano)",""
"1719",NA,"Saudelli, Franco","M","Disegni","IT","P","Sergio Bonelli Editore","",""
"1720",NA,"Savegnago, Marco","M","Sceneggiatura","IT","P","Bugs Comics","",""
"1721","Tutte le mele di Annie","Savi, Valentina","F","Autrice Unica","IT","GN","BeccoGiallo","",""
"1722",NA,"Saviane, Martina","F","Colori","IT","P","Sergio Bonelli Editore","",""
"1723",NA,"Savini, Alberto","M","Lettering, Sceneggiatura","IT","P","The Walt Disney Company","",""
"1724",NA,"Savino, Francesco","M","Autore Unico","IT","GN","Bao Publishing, Shockdom","",""
"1725",NA,"Scagni, Stefano","M","Disegni","IT","GN","ReNoir Comics","",""
"1726",NA,"Scalco, Oskar","M","Disegni","IT","P","Sergio Bonelli Editore","",""
"1727",NA,"Scalera, Matteo","M","Disegni","IT, USA","P, GN","Bao Publishing, BOOM! Studios, Marvel Comics, Panini Comics, SaldaPress","",""
"1728",NA,"Scali, Marco","M","Sceneggiatura","IT","P","Bugs Comics","",""
"1729",NA,"Scalzo, Alessandro","M","Sceneggiatura","USA","P","Dynamite Entertainment","",""
"1730",NA,"Scarduelli, Giovanni","M","Autore Unico, Disegni","IT","GN","BeccoGiallo, Centauria, La Stampa","",""
"1731",NA,"Scarnera, Pietro","M","Autore Unico","IT","GN","Coconino Press, Comma 22","",""
"1732",NA,"Scarpa, Laura","F","Autrice Unica","IT, FR","GN","ComicOut, …ditions Delcourt","",""
"1733",NA,"Scascitelli, Sandro","M","Disegni","IT","P","Sergio Bonelli Editore","",""
"1734",NA,"Schiavon, Firas","M","Sceneggiatura","IT","GN","Edizioni INKiostro","",""
"1735",NA,"Schiavone, Alberto","M","Sceneggiatura","IT","GN","BD","",""
"1736",NA,"Schiti, Valerio","M","Disegni","IT, USA","P","Marvel Comics, Panini Comics","",""
"1737",NA,"Sciaccaluga, Giulio","M","Autore Unico","IT","GN","Shockdom","",""
"1738",NA,"Sciarrone, Claudio","M","Disegni","IT","P","The Walt Disney Company","",""
"1739",NA,"Sclavi, Tiziano","M","Sceneggiatura","IT","P, GN","Feltrinelli Editore, Sergio Bonelli Editore, The Walt Disney Company","",""
"1740",NA,"Scolari, Silvano","M","Colori","IT, FR","P, GN","Les Humanoides Associes, The Walt Disney Company","Scuola internazionale di Comics - Reggio Emilia",""
"1741","Scomparsa","Scomparin, Roberta","F","Autrice Unica","IT","GN","Canicola Edizioni, Coconino Press","",""
"1742",NA,"Scoppetta, Andrea","M","Colori, Disegni","IT, FR","P, GN","…ditions Soleil, Lavieri Edizioni, The Walt Disney Company","Scuola italiana di Comix (Napoli), La scuola del fumetto (Cosenza)",""
"1743",NA,"Scornaienchi, Luca","M","Sceneggiatura","IT","GN","Round Robin","La scuola del fumetto (Cosenza)",""
"1744",NA,"Scotto, Lavina Zulema","F","Disegni","FR, USA","P, GN","Dark Horse Comics, Petit ‡ Petit","",""
"1745",NA,"Scozzari, Filippo","M","Autore Unico","IT","GN","Coconino Press","",""
"1746",NA,"Scuderi, Flavia","F","Disegni, Sceneggiatura","IT","P","The Walt Disney Company","",""
"1747",NA,"Secchi, Riccardo","M","Sceneggiatura","IT","P","Sergio Bonelli Editore, The Walt Disney Company","",""
"1748",NA,"Seccia, Raffaella","F","Chine","IT","P","The Walt Disney Company","",""
"1749",NA,"Sedioli, Gianni","M","Disegni","IT","P","Sergio Bonelli Editore","",""
"1750",NA,"Segala, Francesco","M","Colori","IT, USA","P, GN","BeccoGiallo, BOOM! Studios, Bugs Comics, Magic Press Edizioni","",""
"1751",NA,"Semeraro, Raffaele","M","Chine","USA","P","Storm King Comics, Titan Comics","",""
"1752",NA,"Sena, Mariangela","F","Sceneggiatura","IT","GN","Kleiner Flug","",""
"1753",NA,"Sepe, Antonio","M","Sceneggiatura","IT","GN","Remer Comics","",""
"1754",NA,"Sergi, Rossella","F","Autrice Unica","IT","GN","Shockdom","",""
"1755",NA,"Serio, Andrea","M","Autore Unico","IT","GN","Kleiner Flug, Oblomov Edizioni","Scuola internazionale di Comics - Torino",""
"1756",NA,"Serpieri, Paolo Eleuteri","M","Disegni","FR","GN","…ditions Glenat, Mosquito","",""
"1757",NA,"Serra, Antonio","M","Sceneggiatura","IT","P","Sergio Bonelli Editore","",""
"1758",NA,"Setola, Michelangelo","M","Autore Unico","IT","GN","Canicola Edizioni","",""
"1759",NA,"Settimo, Andrea","M","Autore Unico, Disegni","IT, FR","GN","Coconino Press, Edizioni Zanetti, Rizzoli Lizard, Sarbacane","",""
"1760",NA,"Sfascia, Federico","M","Disegni","IT","GN","Kleiner Flug","",""
"1761",NA,"Sforza, Antonio","M","Disegni","IT","P","Sergio Bonelli Editore","",""
"1762",NA,"Sgarzi, Antonella","F","Sceneggiatura","IT","P","The Walt Disney Company","",""
"1763",NA,"Sguanci, Elisa","F","Colori","IT","P","Sergio Bonelli Editore","",""
"1764",NA,"Sicchio, Dario","M","Sceneggiatura","IT","P","Star Comics","",""
"1765",NA,"Sicomoro, Eugenio","M","Disegni","FR","GN","…ditions Delcourt, …ditions Dupuis, …ditions Glenat","SRF - Scuola Romana dei Fumetti",""
"1766","Sudario Brando","Siena, Francesco","M","Disegni","IT","P","Alias - il Manifesto, Sergio Bonelli Editore","NID - Nuovo Istituto Design (Perugia)",""
"1767","Fumettibrutti","Signorelli, Josephine Yole","F","Autrice Unica","IT","GN","BeccoGiallo, Diabolo Edizioni, Feltrinelli Editore, Linus","",""
"1768","Tauro","Silvestri, Antonio","M","Sceneggiatura","IT","GN","Shockdom, TunuÈ","",""
"1769","Silver","Silvestri, Guido","M","Autore Unico","IT","P","COMICON Edizioni, Panini Comics","",""
"1770",NA,"Silvi, Cristiano","M","Sceneggiatura","IT","GN","TunuÈ","",""
"1771",NA,"Simeone, Stefano","M","Autore Unico, Colori, Disegni","IT, USA","P, GN","Bao Publishing, IDW Publishing, Sergio Bonelli Editore, The Walt Disney Company","SRF - Scuola Romana dei Fumetti",""
"1772",NA,"Simeoni, Gigi","M","Disegni, Sceneggiatura","IT","P","Sergio Bonelli Editore","Scuola internazionale di Comics - Brescia",""
"1773",NA,"Simeoni, Manuel","M","Disegni","USA","P","DC Comics, IDW Publishing","Scuola internazionale di Comics - Roma",""
"1774",NA,"Simeoni, Stefano","M","Disegni","IT, FR","P, GN","…ditions Delcourt, The Walt Disney Company","",""
"1775",NA,"Simonacci, Matteo","M","Disegni","FR","GN","…ditions Soleil, Marabout","",""
"1776",NA,"Simone, Simona","F","Disegni","IT","GN","Edizioni INKiostro","",""
"1777",NA,"Simoni, Matilde","F","Disegni","IT","GN","Barta Edizioni, BeccoGiallo","",""
"1778",NA,"Siniscalchi, Luigi","M","Disegni","IT","P","Sergio Bonelli Editore","",""
"1779",NA,"Sisti, Alessandro","M","Sceneggiatura","IT","P","The Walt Disney Company","Scuola internazionale di Comics - Genova",""
"1780",NA,"Sisto, Ezio","M","Sceneggiatura","IT","P","The Walt Disney Company","",""
"1781","Lumi Niemi","Siviero, Francesca","F","Autrice Unica","IT","GN","Mangasenpai","",""
"1782",NA,"Socal, Alice","F","Autrice Unica","IT, DE","GN","Canicola Edizioni, Coconino Press, Eris Edizioni, MalEdizioni, Rotopol Press","",""
"1783",NA,"Soffritti, Donald","M","Disegni","IT","P","The Walt Disney Company","Corso di fumetto - Arena del Fumetto (Bologna)",""
"1784",NA,"Soldati, Giampaolo","M","Disegni","IT","P","The Walt Disney Company","",""
"1785",NA,"Soldatich, Cristiano","M","Disegni","IT","GN","Shockdom","",""
"1786",NA,"Solinas, Antonio","M","Sceneggiatura","IT","GN","BeccoGiallo","",""
