"","Nome d'arte","Nome","Sesso","Attivit‡","Paesi.di.prima.pubblicazione","Mercati","Editori","Insegna.presso","ISBN"
"238",NA,"Bonfanti, Davide","M","Disegni","IT","GN","BeccoGiallo","Scuola del fumetto (Milano)",""
"239",NA,"Bonfanti, Stefano","M","Disegni","IT, FR","GN","Casterman, Dentibl˘, …ditions Glenat, Edizioni Dentibl˘","",""
"240",NA,"Bonfatti, Massimo","M","Autore Unico, Disegni","IT","P, GN","SaldaPress, Sergio Bonelli Editore, The Walt Disney Company","",""
"241",NA,"Bono, Fabio","M","Disegni","FR","GN","…ditions Glenat","",""
"242","Gud","Bonomo, Daniele","M","Autore Unico","IT","GN","Coconino Press, TunuÈ","The Sign - Comics & Arts Academy (Firenze)",""
"243",NA,"Bonora, Tatiana","F","Lettering","IT","P","Marvel Comics, Panini Comics","",""
"244",NA,"Boraley, Steve","M","Disegni","IT","P","Sergio Bonelli Editore","Scuola italiana di Comix (Napoli)",""
"245",NA,"Bordiglioni, Stefano","M","Sceneggiatura","FR","GN","…ditions Clair de Lune","",""
"246",NA,"Borgioli, Andrea","M","Disegni","IT","P","Sergio Bonelli Editore","Scuola internazionale di Comics - Reggio Emilia, Corso di fumetto - Arena del Fumetto (Bologna)",""
"247",NA,"Borio, Cristina","F","Colori","IT","P","Sergio Bonelli Editore","",""
"248",NA,"Borlini, Barbara","F","Autrice Unica","IT","GN","TunuÈ","",""
"249",NA,"Bormida, Andrea","M","Disegni","IT","P","Sergio Bonelli Editore","",""
"250",NA,"Borsoni, Riccardo","M","Sceneggiatura","IT, FR","P, GN","Kawama, Star Comics","Scuola internazionale di Comics - Brescia",""
"251",NA,"Boscarol, Maurizio","M","Autore Unico","IT","GN","Feltrinelli Editore","",""
"252",NA,"Boschetti, Alex","M","Sceneggiatura","IT","GN","BeccoGiallo","",""
"253",NA,"Bosco, Marco","M","Sceneggiatura","IT","P","The Walt Disney Company","",""
"254",NA,"Boscoli, Duccio","M","Autore Unico","IT","GN","BeccoGiallo","",""
"255",NA,"Boscolo, Andrea","M","Disegni","IT","GN","Shockdom","",""
"256",NA,"Boselli, Mauro","M","Sceneggiatura","IT","P","Sergio Bonelli Editore","",""
"257",NA,"Boselli, Silvio","M","Disegni","IT","GN","BeccoGiallo","",""
"258",NA,"Bosi, Nicholas","M","Sceneggiatura","IT","P","Alias - il Manifesto","",""
"259",NA,"Bouah, Christian B.","M","Sceneggiatura","IT","GN","TunuÈ","",""
"260",NA,"Bouchami, Sabrina","F","Autrice Unica","IT","GN","Mangasenpai","",""
"261",NA,"Bovo, Lorenzo","M","Disegni","IT","P","Sergio Bonelli Editore","",""
"262",NA,"Bozzi, Cristina","F","Lettering","IT","P","Sergio Bonelli Editore","",""
"263",NA,"Bozzo, Andrea","M","Autore Unico","IT","P","La Stampa/Tuttolibri","",""
"264",NA,"Bracanti, Valentina","F","Disegni","FR","GN","Kramiek","",""
"265",NA,"Bracchi, Manuel","M","Disegni","IT, USA","P","BOOM! Studios, IDW Publishing, Sergio Bonelli Editore","",""
"266",NA,"Braga, Laura","F","Disegni","IT, USA","P","DC Comics, Marvel Comics, Panini Comics","",""
